"contID","ko","contig","rank","taxid","score"
"ko\:K00001\:contig00010","K00001","contig00010","s","375",36
"ko\:K00001\:contig00011","K00001","contig00011","k","2",100
"ko\:K00001\:contig00011","K00001","contig00011","p","1224",100
"ko\:K00001\:contig00011","K00001","contig00011","c","28211",100
"ko\:K00001\:contig00011","K00001","contig00011","o","356",100
"ko\:K00001\:contig00011","K00001","contig00011","f","41294",100
"ko\:K00001\:contig00011","K00001","contig00011","g","374",84
"ko\:K00001\:contig00011","K00001","contig00011","s","375",12
"ko\:K00001\:contig00012","K00001","contig00012","k","2",100
"ko\:K00001\:contig00012","K00001","contig00012","p","1224",100
"ko\:K00001\:contig00012","K00001","contig00012","c","28211",100
"ko\:K00001\:contig00012","K00001","contig00012","o","356",100
"ko\:K00001\:contig00012","K00001","contig00012","f","41294",100
"ko\:K00001\:contig00012","K00001","contig00012","g","374",100
"ko\:K00001\:contig00012","K00001","contig00012","s","375",36
"ko\:K00001\:contig00013","K00001","contig00013","k","2",100
"ko\:K00001\:contig00013","K00001","contig00013","p","1224",100
"ko\:K00001\:contig00013","K00001","contig00013","c","28216",89
"ko\:K00001\:contig00013","K00001","contig00013","o","80840",89
"ko\:K00001\:contig00013","K00001","contig00013","f","119060",89
"ko\:K00001\:contig00013","K00001","contig00013","g","48736",89
"ko\:K00001\:contig00013","K00001","contig00013","s","305",89
"ko\:K00001\:contig00014","K00001","contig00014","k","2",100
"ko\:K00001\:contig00014","K00001","contig00014","p","1224",100
"ko\:K00001\:contig00014","K00001","contig00014","c","28211",100
"ko\:K00001\:contig00014","K00001","contig00014","o","356",100
"ko\:K00001\:contig00014","K00001","contig00014","f","41294",100
"ko\:K00001\:contig00014","K00001","contig00014","g","1073",100
"ko\:K00001\:contig00014","K00001","contig00014","s","1076",100
"ko\:K00001\:contig00015","K00001","contig00015","k","2",100
"ko\:K00001\:contig00015","K00001","contig00015","p","1224",100
"ko\:K00001\:contig00015","K00001","contig00015","c","28211",88
"ko\:K00001\:contig00015","K00001","contig00015","o","356",88
"ko\:K00001\:contig00015","K00001","contig00015","f","82115",71
"ko\:K00001\:contig00015","K00001","contig00015","g","28105",24
"ko\:K00001\:contig00015","K00001","contig00015","s","382",18
"ko\:K00001\:contig00016","K00001","contig00016","k","2",100
"ko\:K00001\:contig00016","K00001","contig00016","p","1224",68
"ko\:K00001\:contig00016","K00001","contig00016","c","28211",32
"ko\:K00001\:contig00016","K00001","contig00016","o","356",20
"ko\:K00001\:contig00016","K00001","contig00016","f","82115",20
"ko\:K00001\:contig00016","K00001","contig00016","g","379",12
"ko\:K00001\:contig00016","K00001","contig00016","s","136996",4
"ko\:K00001\:contig00017","K00001","contig00017","k","2",100
"ko\:K00001\:contig00017","K00001","contig00017","p","1224",88
"ko\:K00001\:contig00017","K00001","contig00017","c","28211",40
"ko\:K00001\:contig00017","K00001","contig00017","o","204455",28
"ko\:K00001\:contig00017","K00001","contig00017","f","31989",28
"ko\:K00001\:contig00017","K00001","contig00017","g","60136",8
"ko\:K00001\:contig00017","K00001","contig00017","s",NA,4
"ko\:K00001\:contig00018","K00001","contig00018","k","2",96
"ko\:K00001\:contig00018","K00001","contig00018","p","1224",80
"ko\:K00001\:contig00018","K00001","contig00018","c","28211",56
"ko\:K00001\:contig00018","K00001","contig00018","o","356",28
"ko\:K00001\:contig00018","K00001","contig00018","f","82115",20
"ko\:K00001\:contig00018","K00001","contig00018","g","379",12
"ko\:K00001\:contig00018","K00001","contig00018","s","136996",4
"ko\:K00001\:contig00019","K00001","contig00019","k","2",100
"ko\:K00001\:contig00019","K00001","contig00019","p","201174",100
"ko\:K00001\:contig00019","K00001","contig00019","c","1760",100
"ko\:K00001\:contig00019","K00001","contig00019","o","2037",100
"ko\:K00001\:contig00019","K00001","contig00019","f","1762",40
"ko\:K00001\:contig00019","K00001","contig00019","g","1763",40
"ko\:K00001\:contig00019","K00001","contig00019","s","1772",12
"ko\:K00001\:contig00020","K00001","contig00020","k","2",100
"ko\:K00001\:contig00020","K00001","contig00020","p","1224",80
"ko\:K00001\:contig00020","K00001","contig00020","c","28211",80
"ko\:K00001\:contig00020","K00001","contig00020","o","356",80
"ko\:K00001\:contig00020","K00001","contig00020","f","119045",40
"ko\:K00001\:contig00020","K00001","contig00020","g","186650",40
"ko\:K00001\:contig00020","K00001","contig00020","s","670292",20
"ko\:K00001\:contig00021","K00001","contig00021","k","2",100
"ko\:K00001\:contig00021","K00001","contig00021","p","1224",56
"ko\:K00001\:contig00021","K00001","contig00021","c","28211",40
"ko\:K00001\:contig00021","K00001","contig00021","o","356",32
"ko\:K00001\:contig00021","K00001","contig00021","f","69277",20
"ko\:K00001\:contig00021","K00001","contig00021","g","68287",16
"ko\:K00001\:contig00021","K00001","contig00021","s","1287292",4
"ko\:K00001\:contig00022","K00001","contig00022","k","2",100
"ko\:K00001\:contig00022","K00001","contig00022","p","1224",88
"ko\:K00001\:contig00022","K00001","contig00022","c","28211",40
"ko\:K00001\:contig00022","K00001","contig00022","o","356",36
"ko\:K00001\:contig00022","K00001","contig00022","f","41294",16
"ko\:K00001\:contig00022","K00001","contig00022","g","374",16
"ko\:K00001\:contig00022","K00001","contig00022","s","189753",8
"ko\:K00001\:contig00023","K00001","contig00023","k","2",100
"ko\:K00001\:contig00023","K00001","contig00023","p","1224",100
"ko\:K00001\:contig00023","K00001","contig00023","c","28211",100
"ko\:K00001\:contig00023","K00001","contig00023","o","356",100
"ko\:K00001\:contig00023","K00001","contig00023","f","69277",84
"ko\:K00001\:contig00023","K00001","contig00023","g","68287",84
"ko\:K00001\:contig00023","K00001","contig00023","s","381",20
"ko\:K00001\:contig00024","K00001","contig00024","k","2",100
"ko\:K00001\:contig00024","K00001","contig00024","p","1224",68
"ko\:K00001\:contig00024","K00001","contig00024","c","28211",56
"ko\:K00001\:contig00024","K00001","contig00024","o","356",44
"ko\:K00001\:contig00024","K00001","contig00024","f","82115",40
"ko\:K00001\:contig00024","K00001","contig00024","g","357",28
"ko\:K00001\:contig00024","K00001","contig00024","s","1183400",12
"ko\:K00001\:contig00024","K00001","contig00024","s","358",8
"ko\:K00001\:contig00025","K00001","contig00025","k","2",100
"ko\:K00001\:contig00025","K00001","contig00025","p","203691",100
"ko\:K00001\:contig00025","K00001","contig00025","c","203692",100
"ko\:K00001\:contig00025","K00001","contig00025","o","136",100
"ko\:K00001\:contig00025","K00001","contig00025","f","170",100
"ko\:K00001\:contig00025","K00001","contig00025","g","171",100
"ko\:K00001\:contig00025","K00001","contig00025","s","173",45
"ko\:K00001\:contig00026","K00001","contig00026","k","2",100
"ko\:K00001\:contig00026","K00001","contig00026","p","1224",100
"ko\:K00001\:contig00026","K00001","contig00026","c","1236",52
"ko\:K00001\:contig00026","K00001","contig00026","o","135619",32
"ko\:K00001\:contig00026","K00001","contig00026","f","28256",32
"ko\:K00001\:contig00026","K00001","contig00026","g","2745",32
"ko\:K00001\:contig00026","K00001","contig00026","s","223527",4
"ko\:K00001\:contig00027","K00001","contig00027","k","2",100
"ko\:K00001\:contig00027","K00001","contig00027","p","1224",100
"ko\:K00001\:contig00027","K00001","contig00027","c","28211",100
"ko\:K00001\:contig00027","K00001","contig00027","o","356",95
"ko\:K00001\:contig00027","K00001","contig00027","f","41294",95
"ko\:K00001\:contig00027","K00001","contig00027","g","1073",42
"ko\:K00001\:contig00027","K00001","contig00027","s","1076",42
"ko\:K00001\:contig00028","K00001","contig00028","k","2",96
"ko\:K00001\:contig00028","K00001","contig00028","p","1224",48
"ko\:K00001\:contig00028","K00001","contig00028","c","28211",28
"ko\:K00001\:contig00028","K00001","contig00028","o","356",20
"ko\:K00001\:contig00028","K00001","contig00028","f","82115",20
"ko\:K00001\:contig00028","K00001","contig00028","g","379",12
"ko\:K00001\:contig00028","K00001","contig00028","s","136996",4
"ko\:K00001\:contig00029","K00001","contig00029","k","2",100
"ko\:K00001\:contig00029","K00001","contig00029","p","1224",80
"ko\:K00001\:contig00029","K00001","contig00029","c","28211",80
"ko\:K00001\:contig00029","K00001","contig00029","s","1333998",20
"ko\:K00001\:contig00030","K00001","contig00030","k","2",100
"ko\:K00001\:contig00030","K00001","contig00030","p","1224",96
"ko\:K00001\:contig00030","K00001","contig00030","c","1236",76
"ko\:K00001\:contig00030","K00001","contig00030","o","72274",68
"ko\:K00001\:contig00030","K00001","contig00030","f","135621",68
"ko\:K00001\:contig00030","K00001","contig00030","g","286",68
"ko\:K00001\:contig00030","K00001","contig00030","s","136843",16
"ko\:K00001\:contig00030","K00001","contig00030","s","294",16
"ko\:K00001\:contig00031","K00001","contig00031","k","2",96
"ko\:K00001\:contig00031","K00001","contig00031","p","1224",92
"ko\:K00001\:contig00031","K00001","contig00031","c","28211",64
"ko\:K00001\:contig00031","K00001","contig00031","o","356",24
"ko\:K00001\:contig00031","K00001","contig00031","f","82115",20
"ko\:K00001\:contig00031","K00001","contig00031","g","379",12
"ko\:K00001\:contig00031","K00001","contig00031","s","136996",4
"ko\:K00001\:contig00032","K00001","contig00032","k","2",100
"ko\:K00001\:contig00032","K00001","contig00032","p","1224",100
"ko\:K00001\:contig00032","K00001","contig00032","c","28211",57
"ko\:K00001\:contig00032","K00001","contig00032","o","356",57
"ko\:K00001\:contig00032","K00001","contig00032","f","41294",57
"ko\:K00001\:contig00032","K00001","contig00032","g","1073",57
"ko\:K00001\:contig00032","K00001","contig00032","s","1076",43
"ko\:K00001\:contig00033","K00001","contig00033","k","2",100
"ko\:K00001\:contig00033","K00001","contig00033","p","1224",100
"ko\:K00001\:contig00033","K00001","contig00033","c","28216",46
"ko\:K00001\:contig00033","K00001","contig00033","o","119069",13
"ko\:K00001\:contig00033","K00001","contig00033","f","206349",13
"ko\:K00001\:contig00033","K00001","contig00033","g","919",13
"ko\:K00001\:contig00033","K00001","contig00033","s","36861",8
"ko\:K00001\:contig00034","K00001","contig00034","k","2",100
"ko\:K00001\:contig00034","K00001","contig00034","p","1224",100
"ko\:K00001\:contig00034","K00001","contig00034","c","28216",43
"ko\:K00001\:contig00034","K00001","contig00034","o","119069",14
"ko\:K00001\:contig00034","K00001","contig00034","f","206349",14
"ko\:K00001\:contig00034","K00001","contig00034","g","919",14
"ko\:K00001\:contig00034","K00001","contig00034","s","36861",10
"ko\:K00001\:contig00035","K00001","contig00035","k","2",100
"ko\:K00001\:contig00035","K00001","contig00035","p","201174",100
"ko\:K00001\:contig00035","K00001","contig00035","c","1760",100
"ko\:K00001\:contig00035","K00001","contig00035","o","2037",100
"ko\:K00001\:contig00035","K00001","contig00035","f","1762",100
"ko\:K00001\:contig00035","K00001","contig00035","g","1763",100
"ko\:K00001\:contig00035","K00001","contig00035","s","670516",30
"ko\:K00001\:contig00035","K00001","contig00035","s","36809",30
"ko\:K00001\:contig00036","K00001","contig00036","k","2",96
"ko\:K00001\:contig00036","K00001","contig00036","p","1224",64
"ko\:K00001\:contig00036","K00001","contig00036","c","28211",48
"ko\:K00001\:contig00036","K00001","contig00036","o","356",24
"ko\:K00001\:contig00036","K00001","contig00036","f","82115",20
"ko\:K00001\:contig00036","K00001","contig00036","g","379",12
"ko\:K00001\:contig00036","K00001","contig00036","s","136996",4
"ko\:K00001\:contig00037","K00001","contig00037","k","2",100
"ko\:K00001\:contig00037","K00001","contig00037","p","201174",100
"ko\:K00001\:contig00037","K00001","contig00037","c","1760",100
"ko\:K00001\:contig00037","K00001","contig00037","o","2037",100
"ko\:K00001\:contig00037","K00001","contig00037","f","31957",100
"ko\:K00001\:contig00037","K00001","contig00037","g","29404",100
"ko\:K00001\:contig00037","K00001","contig00037","s","29405",100
"ko\:K00001\:contig00038","K00001","contig00038","k","2",100
"ko\:K00001\:contig00038","K00001","contig00038","p","1224",100
"ko\:K00001\:contig00038","K00001","contig00038","c","28216",100
"ko\:K00001\:contig00038","K00001","contig00038","o","80840",100
"ko\:K00001\:contig00038","K00001","contig00038","f","119060",100
"ko\:K00001\:contig00038","K00001","contig00038","g","48736",89
"ko\:K00001\:contig00038","K00001","contig00038","s","305",89
"ko\:K00001\:contig00039","K00001","contig00039","k","2",100
"ko\:K00001\:contig00039","K00001","contig00039","p","1224",100
"ko\:K00001\:contig00039","K00001","contig00039","c","28211",100
"ko\:K00001\:contig00039","K00001","contig00039","o","356",95
"ko\:K00001\:contig00039","K00001","contig00039","f","41294",86
"ko\:K00001\:contig00039","K00001","contig00039","g","1073",38
"ko\:K00001\:contig00039","K00001","contig00039","s","1076",38
"ko\:K00001\:contig00040","K00001","contig00040","k","2",96
"ko\:K00001\:contig00040","K00001","contig00040","p","1224",84
"ko\:K00001\:contig00040","K00001","contig00040","c","28211",76
"ko\:K00001\:contig00040","K00001","contig00040","o","356",60
"ko\:K00001\:contig00040","K00001","contig00040","f","82115",32
"ko\:K00001\:contig00040","K00001","contig00040","g","357",12
"ko\:K00001\:contig00040","K00001","contig00040","s","1183400",8
"ko\:K00001\:contig00040","K00001","contig00040","s","1176649",4
"ko\:K00001\:contig00041","K00001","contig00041","k","2",100
"ko\:K00001\:contig00041","K00001","contig00041","p","1224",100
"ko\:K00001\:contig00041","K00001","contig00041","c","28216",48
"ko\:K00001\:contig00041","K00001","contig00041","o","80840",48
"ko\:K00001\:contig00041","K00001","contig00041","f","119060",44
"ko\:K00001\:contig00041","K00001","contig00041","g","32008",40
"ko\:K00001\:contig00041","K00001","contig00041","s","87882",32
"ko\:K00001\:contig00041","K00001","contig00041","s","87883",24
"ko\:K00001\:contig00042","K00001","contig00042","k","2",100
"ko\:K00001\:contig00042","K00001","contig00042","p","1224",100
"ko\:K00001\:contig00042","K00001","contig00042","c","28211",67
"ko\:K00001\:contig00042","K00001","contig00042","o","356",67
"ko\:K00001\:contig00042","K00001","contig00042","f","41294",67
"ko\:K00001\:contig00042","K00001","contig00042","g","1073",67
"ko\:K00001\:contig00042","K00001","contig00042","s","1076",50
"ko\:K00001\:contig00043","K00001","contig00043","k","2",100
"ko\:K00001\:contig00043","K00001","contig00043","p","1224",100
"ko\:K00001\:contig00043","K00001","contig00043","c","28211",100
"ko\:K00001\:contig00043","K00001","contig00043","o","356",96
"ko\:K00001\:contig00043","K00001","contig00043","f","41294",68
"ko\:K00001\:contig00043","K00001","contig00043","g","1033",28
"ko\:K00001\:contig00043","K00001","contig00043","s","56946",4
"ko\:K00001\:contig00044","K00001","contig00044","k","2",100
"ko\:K00001\:contig00044","K00001","contig00044","p","201174",100
"ko\:K00001\:contig00044","K00001","contig00044","c","1760",100
"ko\:K00001\:contig00044","K00001","contig00044","o","2037",100
"ko\:K00001\:contig00044","K00001","contig00044","f","1762",80
"ko\:K00001\:contig00044","K00001","contig00044","g","1763",80
"ko\:K00001\:contig00044","K00001","contig00044","s","1772",12
"ko\:K00001\:contig00045","K00001","contig00045","k","2",100
"ko\:K00001\:contig00045","K00001","contig00045","p","1224",100
"ko\:K00001\:contig00045","K00001","contig00045","c","28211",100
"ko\:K00001\:contig00045","K00001","contig00045","o","356",100
"ko\:K00001\:contig00045","K00001","contig00045","f","41294",100
"ko\:K00001\:contig00045","K00001","contig00045","g","1073",100
"ko\:K00001\:contig00045","K00001","contig00045","s","1076",75
"ko\:K00001\:contig00046","K00001","contig00046","k","2",100
"ko\:K00001\:contig00046","K00001","contig00046","p","1224",100
"ko\:K00001\:contig00046","K00001","contig00046","c","1236",100
"ko\:K00001\:contig00046","K00001","contig00046","o","72274",100
"ko\:K00001\:contig00046","K00001","contig00046","f","468",100
"ko\:K00001\:contig00046","K00001","contig00046","g","469",96
"ko\:K00001\:contig00046","K00001","contig00046","s","909768",12
"ko\:K00001\:contig00046","K00001","contig00046","s","470",8
"ko\:K00001\:contig00047","K00001","contig00047","k","2",100
"ko\:K00001\:contig00047","K00001","contig00047","p","201174",100
"ko\:K00001\:contig00047","K00001","contig00047","c","1760",100
"ko\:K00001\:contig00047","K00001","contig00047","o","85004",100
"ko\:K00001\:contig00047","K00001","contig00047","f","31953",100
"ko\:K00001\:contig00047","K00001","contig00047","g","1678",100
"ko\:K00001\:contig00047","K00001","contig00047","s","216816",56
"ko\:K00001\:contig00047","K00001","contig00047","s","1679",20
"ko\:K00001\:contig00048","K00001","contig00048","k","2",100
"ko\:K00001\:contig00048","K00001","contig00048","p","1224",100
"ko\:K00001\:contig00048","K00001","contig00048","c","1236",48
"ko\:K00001\:contig00048","K00001","contig00048","o","135618",36
"ko\:K00001\:contig00048","K00001","contig00048","f","403",36
"ko\:K00001\:contig00048","K00001","contig00048","g","39773",16
"ko\:K00001\:contig00048","K00001","contig00048","s","39774",4
"ko\:K00001\:contig00049","K00001","contig00049","k","2",100
"ko\:K00001\:contig00049","K00001","contig00049","p","1224",100
"ko\:K00001\:contig00049","K00001","contig00049","c","28216",52
"ko\:K00001\:contig00049","K00001","contig00049","o","80840",52
"ko\:K00001\:contig00049","K00001","contig00049","f","119060",32
"ko\:K00001\:contig00049","K00001","contig00049","g","32008",24
"ko\:K00001\:contig00049","K00001","contig00049","s","87882",12
"ko\:K00001\:contig00049","K00001","contig00049","s","152480",8
"ko\:K00001\:contig00050","K00001","contig00050","k","2",100
"ko\:K00001\:contig00050","K00001","contig00050","p","1224",80
"ko\:K00001\:contig00050","K00001","contig00050","c","28216",48
"ko\:K00001\:contig00050","K00001","contig00050","o","80840",48
"ko\:K00001\:contig00050","K00001","contig00050","f","119060",48
"ko\:K00001\:contig00050","K00001","contig00050","g","32008",48
"ko\:K00001\:contig00050","K00001","contig00050","s","87882",40
"ko\:K00001\:contig00050","K00001","contig00050","s","87883",24
"ko\:K00001\:contig00051","K00001","contig00051","k","2",100
"ko\:K00001\:contig00051","K00001","contig00051","p","1224",100
"ko\:K00001\:contig00051","K00001","contig00051","c","28216",56
"ko\:K00001\:contig00051","K00001","contig00051","o","80840",56
"ko\:K00001\:contig00051","K00001","contig00051","f","119060",32
"ko\:K00001\:contig00051","K00001","contig00051","g","32008",28
"ko\:K00001\:contig00051","K00001","contig00051","s","87882",12
"ko\:K00001\:contig00051","K00001","contig00051","s","152480",8
"ko\:K00001\:contig00052","K00001","contig00052","k","2",100
"ko\:K00001\:contig00052","K00001","contig00052","p","1224",100
"ko\:K00001\:contig00052","K00001","contig00052","c","1236",100
"ko\:K00001\:contig00052","K00001","contig00052","f","1400857",100
"ko\:K00001\:contig00052","K00001","contig00052","g","221279",50
"ko\:K00001\:contig00052","K00001","contig00052","s","1400862",50
"ko\:K00001\:contig00053","K00001","contig00053","k","2",100
"ko\:K00001\:contig00053","K00001","contig00053","p","1224",100
"ko\:K00001\:contig00053","K00001","contig00053","c","28216",58
"ko\:K00001\:contig00053","K00001","contig00053","o","80840",58
"ko\:K00001\:contig00053","K00001","contig00053","f","119060",58
"ko\:K00001\:contig00053","K00001","contig00053","g","48736",42
"ko\:K00001\:contig00053","K00001","contig00053","s","305",42
"ko\:K00001\:contig00054","K00001","contig00054","k","2",100
"ko\:K00001\:contig00054","K00001","contig00054","p","1224",100
"ko\:K00001\:contig00054","K00001","contig00054","c","28216",65
"ko\:K00001\:contig00054","K00001","contig00054","o","80840",65
"ko\:K00001\:contig00054","K00001","contig00054","f","119060",65
"ko\:K00001\:contig00054","K00001","contig00054","g","48736",47
"ko\:K00001\:contig00054","K00001","contig00054","s","305",47
"ko\:K00001\:contig00055","K00001","contig00055","k","2",100
"ko\:K00001\:contig00055","K00001","contig00055","p","1224",100
"ko\:K00001\:contig00055","K00001","contig00055","c","28211",100
"ko\:K00001\:contig00055","K00001","contig00055","o","356",100
"ko\:K00001\:contig00055","K00001","contig00055","f","41294",100
"ko\:K00001\:contig00055","K00001","contig00055","g","1073",100
"ko\:K00001\:contig00055","K00001","contig00055","s","1076",75
"ko\:K00001\:contig00056","K00001","contig00056","k","2",100
"ko\:K00001\:contig00056","K00001","contig00056","p","1224",100
"ko\:K00001\:contig00056","K00001","contig00056","c","28216",55
"ko\:K00001\:contig00056","K00001","contig00056","o","119069",14
"ko\:K00001\:contig00056","K00001","contig00056","f","206349",14
"ko\:K00001\:contig00056","K00001","contig00056","g","919",14
"ko\:K00001\:contig00056","K00001","contig00056","s","36861",9
"ko\:K00001\:contig00057","K00001","contig00057","k","2",100
"ko\:K00001\:contig00057","K00001","contig00057","p","1224",100
"ko\:K00001\:contig00057","K00001","contig00057","c","28216",41
"ko\:K00001\:contig00057","K00001","contig00057","o","80840",38
"ko\:K00001\:contig00057","K00001","contig00057","f","119060",35
"ko\:K00001\:contig00057","K00001","contig00057","g","32008",35
"ko\:K00001\:contig00057","K00001","contig00057","s","87882",29
"ko\:K00001\:contig00057","K00001","contig00057","s","87883",18
"ko\:K00001\:contig00058","K00001","contig00058","k","2",100
"ko\:K00001\:contig00058","K00001","contig00058","p","201174",100
"ko\:K00001\:contig00058","K00001","contig00058","c","1760",100
"ko\:K00001\:contig00058","K00001","contig00058","o","2037",100
"ko\:K00001\:contig00058","K00001","contig00058","f","1762",100
"ko\:K00001\:contig00058","K00001","contig00058","g","1763",100
"ko\:K00001\:contig00058","K00001","contig00058","s","670516",21
"ko\:K00001\:contig00058","K00001","contig00058","s","36809",21
"ko\:K00001\:contig00059","K00001","contig00059","k","2",100
"ko\:K00001\:contig00059","K00001","contig00059","p","1224",100
"ko\:K00001\:contig00059","K00001","contig00059","c","28211",100
"ko\:K00001\:contig00059","K00001","contig00059","o","356",96
"ko\:K00001\:contig00059","K00001","contig00059","f","41294",83
"ko\:K00001\:contig00059","K00001","contig00059","g","1073",38
"ko\:K00001\:contig00059","K00001","contig00059","s","1076",33
"ko\:K00001\:contig00060","K00001","contig00060","k","2",100
"ko\:K00001\:contig00060","K00001","contig00060","p","1224",100
"ko\:K00001\:contig00060","K00001","contig00060","c","1236",60
"ko\:K00001\:contig00060","K00001","contig00060","o","72274",40
"ko\:K00001\:contig00060","K00001","contig00060","f","135621",40
"ko\:K00001\:contig00060","K00001","contig00060","g","286",40
"ko\:K00001\:contig00060","K00001","contig00060","s","136843",16
"ko\:K00001\:contig00060","K00001","contig00060","s","294",16
"ko\:K00001\:contig00061","K00001","contig00061","k","2",100
"ko\:K00001\:contig00061","K00001","contig00061","p","1224",76
"ko\:K00001\:contig00061","K00001","contig00061","c","28211",48
"ko\:K00001\:contig00061","K00001","contig00061","o","356",36
"ko\:K00001\:contig00061","K00001","contig00061","f","82115",16
"ko\:K00001\:contig00061","K00001","contig00061","g","357",8
"ko\:K00001\:contig00061","K00001","contig00061","s","147266",4
"ko\:K00001\:contig00062","K00001","contig00062","k","2",100
"ko\:K00001\:contig00062","K00001","contig00062","p","1224",36
"ko\:K00001\:contig00062","K00001","contig00062","c","28211",36
"ko\:K00001\:contig00062","K00001","contig00062","o","356",32
"ko\:K00001\:contig00062","K00001","contig00062","f","119045",12
"ko\:K00001\:contig00062","K00001","contig00062","g","186650",12
"ko\:K00001\:contig00062","K00001","contig00062","s","670292",4
"ko\:K00001\:contig00063","K00001","contig00063","k","2",100
"ko\:K00001\:contig00063","K00001","contig00063","p","201174",38
"ko\:K00001\:contig00063","K00001","contig00063","c","1760",38
"ko\:K00001\:contig00063","K00001","contig00063","o","2037",31
"ko\:K00001\:contig00063","K00001","contig00063","f","1762",15
"ko\:K00001\:contig00063","K00001","contig00063","g","1763",15
"ko\:K00001\:contig00063","K00001","contig00063","s","1120797",8
"ko\:K00001\:contig00064","K00001","contig00064","k","2",96
"ko\:K00001\:contig00064","K00001","contig00064","p","1224",72
